                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6426,                 2.9503,                 1.4376,                0.40129,                0.55485,                0.36268,                0.12254,                 1.9315,                 2.4701,                 1.1076,             0.00066032,             0.00066032,             0.00066032
                      2,                 1.7384,                 1.4819,                 1.0634,                0.64126,                 0.7849,                 0.7011,                0.29426,                 1.6094,                 1.4808,                 1.0476,              0.0013138,              0.0013138,              0.0013138
                      3,                 1.6666,                 1.2943,                 1.0555,                0.56497,                0.69243,                0.57866,                0.22964,                 1.8043,                 1.4389,                 1.0968,              0.0019542,              0.0019542,              0.0019542
                      4,                 1.6265,                 1.2324,                 1.0381,                0.63666,                0.83069,                0.71689,                0.33741,                 1.4649,                 1.2113,                 1.0138,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5858,                 1.1446,                 1.0313,                 0.8172,                 0.8633,                0.86468,                0.41681,                  1.521,                 1.0922,                 1.0223,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5229,                 1.0902,                 1.0165,                0.82517,                0.84678,                 0.8297,                0.39902,                  1.446,                 1.0628,                 1.0193,               0.001901,               0.001901,               0.001901
                      7,                 1.5015,                   1.08,                 1.0143,                0.86063,                0.83275,                0.89294,                0.43522,                 1.3924,                 1.0775,                0.99049,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5097,                 1.0612,                 1.0077,                0.81035,                0.78966,                0.77329,                0.33171,                 1.6203,                 1.2407,                 1.0575,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4796,                 1.0467,                 1.0091,                0.89099,                0.88803,                 0.9079,                  0.462,                 1.3735,                 0.9869,                0.99038,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4436,                 1.0121,                0.99191,                0.84042,                0.86423,                0.89433,                0.45029,                 1.4266,                 1.0158,                 1.0063,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4644,                0.99726,                0.99703,                0.90093,                0.86568,                0.88925,                0.45609,                 1.3417,                0.99507,                0.98706,               0.001802,               0.001802,               0.001802
                     12,                 1.4562,                 1.0071,                0.99446,                0.84476,                 0.8597,                0.84748,                0.40234,                 1.4286,                 1.0672,                 1.0011,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4417,                 1.0021,                 0.9931,                 0.9026,                 0.8801,                0.90218,                0.47561,                 1.3796,                0.95394,                0.98911,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4176,                0.98553,                0.98479,                0.91388,                0.90934,                0.92575,                0.49093,                 1.3117,                0.94257,                0.97311,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.4369,                 1.0233,                0.98699,                0.85197,                0.83092,                0.88916,                0.46341,                 1.3526,                 1.0139,                0.97737,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.3984,                0.99178,                0.97469,                0.92249,                0.92256,                0.93437,                0.50402,                 1.2786,                0.95537,                0.95963,               0.001703,               0.001703,               0.001703
                     17,                 1.4032,                0.96553,                0.98347,                0.94142,                0.93605,                0.94586,                0.50767,                 1.3275,                0.91246,                 0.9807,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.396,                0.95921,                0.97406,                0.94768,                0.94022,                0.94976,                0.49892,                 1.3568,                0.92159,                0.98852,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3825,                0.95537,                0.97357,                0.83736,                0.80712,                 0.8174,                0.38263,                 1.4284,                 1.0579,                 1.0084,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3798,                0.96014,                0.97574,                0.90845,                 0.9039,                0.93139,                0.47535,                 1.3183,                0.99716,                0.96735,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3778,                0.94476,                0.96864,                0.94087,                0.92702,                0.93934,                0.50171,                 1.2906,                 0.9225,                0.96368,               0.001604,               0.001604,               0.001604
                     22,                 1.3715,                0.93875,                0.97231,                0.91427,                0.92158,                0.93437,                0.52766,                 1.2569,                0.88997,                0.95415,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3451,                0.92046,                0.96481,                0.94208,                0.92792,                0.93677,                0.50543,                 1.3199,                0.87424,                 0.9812,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3658,                0.89886,                0.96336,                0.88032,                0.88195,                0.86601,                0.40904,                 1.4453,                0.97179,                  1.015,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.3557,                0.91381,                0.97054,                 0.9194,                0.90749,                0.90951,                0.45667,                 1.3624,                0.98198,                0.97227,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3531,                 0.8926,                0.96592,                0.91543,                0.91591,                0.92683,                0.52014,                 1.2611,                0.86893,                0.96241,               0.001505,               0.001505,               0.001505
                     27,                 1.3312,                0.87535,                0.95819,                0.94389,                0.92279,                0.94461,                0.52968,                 1.2559,                0.88554,                0.95603,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3434,                0.90026,                0.96648,                0.93396,                0.92384,                0.93232,                0.51498,                 1.3048,                 0.8573,                0.96939,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.3257,                0.86191,                0.95772,                0.94509,                0.93926,                0.95464,                 0.5448,                 1.2499,                0.82208,                0.95603,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3253,                0.88685,                 0.9597,                0.95636,                 0.9437,                0.95688,                0.56519,                 1.2542,                0.82923,                0.95654,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.3179,                0.86492,                0.95412,                0.93526,                0.93979,                0.95007,                0.53544,                 1.2266,                0.88122,                0.94486,               0.001406,               0.001406,               0.001406
                     32,                 1.3094,                0.86423,                0.95489,                0.96016,                0.93957,                0.95365,                0.54814,                 1.2352,                0.80904,                0.95598,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3126,                0.84964,                 0.9532,                0.95843,                 0.9459,                0.95799,                0.54953,                 1.2308,                0.80749,                0.95054,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3029,                0.85125,                 0.9542,                0.95428,                0.94719,                0.96184,                0.58761,                 1.1747,                 0.7953,                 0.9369,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2954,                0.83806,                0.94916,                0.94448,                0.94461,                0.95085,                0.56448,                 1.2051,                0.81078,                0.94432,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2957,                0.83068,                0.95077,                0.94375,                0.92782,                0.94807,                0.55402,                 1.2104,                0.79969,                0.94525,               0.001307,               0.001307,               0.001307
                     37,                 1.3003,                0.82435,                0.94587,                0.94907,                0.94198,                0.94879,                0.55059,                  1.229,                0.83558,                0.94823,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2745,                0.80068,                0.94341,                0.95756,                0.94606,                 0.9651,                0.58879,                 1.2376,                0.77368,                0.95269,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2789,                0.83227,                0.95053,                0.96148,                0.95042,                0.96757,                0.59869,                  1.187,                0.76361,                0.94229,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2673,                0.81116,                0.94596,                0.96358,                0.95331,                0.96793,                0.59855,                 1.1671,                0.73626,                0.93475,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2515,                0.80989,                0.94772,                0.96548,                0.95091,                0.96581,                0.59325,                 1.1966,                 0.7263,                0.94332,               0.001208,               0.001208,               0.001208
                     42,                 1.2718,                  0.783,                0.94121,                0.95133,                0.93033,                0.95431,                0.53236,                 1.3466,                 0.8338,                0.97581,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.275,                0.78269,                 0.9437,                0.96307,                0.95399,                0.96763,                 0.6064,                 1.1537,                0.73504,                0.92934,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2536,                0.77421,                0.93468,                0.95542,                0.93262,                0.96497,                0.59307,                 1.1651,                0.77187,                0.92913,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2622,                0.76655,                0.94183,                0.95565,                 0.9549,                0.96095,                0.58921,                 1.1732,                0.70341,                0.93764,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2545,                0.78233,                0.93915,                0.96779,                0.95348,                0.97341,                0.57392,                  1.256,                0.75602,                0.95528,               0.001109,               0.001109,               0.001109
                     47,                  1.244,                0.77306,                0.93834,                0.96414,                0.95444,                0.97144,                0.61878,                 1.1421,                0.71154,                0.92807,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2388,                0.76691,                0.94136,                0.96497,                0.95036,                0.97107,                0.62331,                 1.1369,                 0.6858,                0.92596,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2343,                0.75398,                0.94072,                 0.9645,                0.95457,                 0.9708,                0.57897,                 1.2324,                0.75477,                0.94797,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2455,                0.76317,                0.94189,                0.96343,                0.94944,                0.97058,                 0.6137,                 1.1508,                0.70146,                0.93172,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2348,                0.74381,                0.93574,                 0.9671,                0.95288,                0.97466,                0.58826,                 1.2232,                 0.7312,                0.94655,                0.00101,                0.00101,                0.00101
                     52,                 1.2241,                0.73959,                 0.9365,                0.96657,                0.95665,                 0.9739,                0.59023,                 1.1805,                0.72677,                0.93619,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.218,                 0.7497,                0.93272,                0.96466,                0.95218,                0.97559,                0.56974,                 1.3087,                0.75722,                0.97096,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2314,                0.73759,                0.93668,                0.97029,                0.95716,                0.97931,                0.62238,                 1.1843,                0.67435,                0.94583,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2323,                0.73234,                0.93678,                0.96422,                0.94696,                0.97326,                0.63255,                 1.0817,                0.69101,                0.91432,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.2095,                0.71715,                0.92937,                0.97195,                0.95807,                0.97617,                0.63014,                 1.1078,                0.69163,                0.92053,               0.000911,               0.000911,               0.000911
                     57,                 1.1999,                0.71763,                0.93054,                0.97338,                 0.9617,                0.97696,                0.63578,                 1.1508,                0.64054,                0.92946,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2065,                0.70021,                0.92624,                 0.9681,                0.96306,                0.97955,                  0.624,                 1.1331,                0.64027,                0.91943,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.1911,                0.69145,                0.92559,                0.97594,                0.96464,                 0.9814,                 0.6242,                 1.1795,                0.63387,                0.93629,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.1871,                0.68647,                0.92418,                0.97372,                0.96238,                0.98003,                 0.6356,                 1.1483,                0.61988,                0.92781,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.1797,                0.67219,                0.92331,                0.97606,                0.97038,                 0.9801,                  0.633,                  1.139,                0.60783,                0.92727,               0.000812,               0.000812,               0.000812
                     62,                 1.1868,                0.68494,                 0.9258,                0.96931,                0.96649,                0.97951,                0.65351,                 1.0957,                0.59639,                0.91951,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1859,                0.68158,                0.92707,                0.97152,                0.96532,                0.97959,                0.65551,                 1.0844,                0.59204,                0.91769,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.1769,                0.67623,                0.92119,                0.97202,                0.96283,                0.97991,                0.65786,                 1.0723,                0.59798,                0.91309,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.1727,                0.67696,                0.92168,                0.97444,                0.96773,                0.98227,                0.64533,                 1.1215,                0.60856,                0.91835,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1628,                0.66451,                0.92721,                0.97106,                 0.9657,                0.97894,                0.67436,                 1.0389,                0.58852,                0.90796,               0.000713,               0.000713,               0.000713
                     67,                 1.1608,                0.65744,                0.92234,                0.97296,                0.96231,                0.98166,                 0.5967,                 1.2359,                 0.6481,                0.94442,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1601,                0.65679,                 0.9215,                0.97815,                0.96397,                 0.9828,                0.65286,                 1.1098,                0.59454,                0.92283,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1423,                0.64087,                0.91958,                0.97705,                 0.9748,                0.98358,                0.65035,                 1.1049,                0.58981,                0.91514,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1441,                0.65631,                0.91482,                0.97832,                0.97152,                0.98208,                0.66607,                 1.0737,                0.58916,                0.90998,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.1462,                0.64729,                0.91543,                0.97146,                0.96328,                 0.9809,                0.68277,                 1.0076,                0.57185,                0.89799,               0.000614,               0.000614,               0.000614
                     72,                 1.1321,                 0.6332,                0.90869,                0.97352,                0.96646,                0.98176,                0.67617,                 1.0404,                0.58059,                0.90449,              0.0005942,              0.0005942,              0.0005942
                     73,                   1.13,                0.61748,                0.91412,                0.97445,                  0.968,                0.98225,                0.67021,                 1.0768,                0.56195,                0.91545,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1204,                0.63603,                0.91612,                0.97429,                0.96827,                0.98227,                 0.6956,                 1.0205,                 0.5533,                0.89983,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1163,                0.62387,                0.91158,                0.97627,                0.97099,                0.98196,                 0.6783,                 1.0363,                0.54283,                0.90278,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1234,                0.62098,                0.91752,                0.97263,                0.97167,                0.98183,                0.68467,                 1.0202,                0.53681,                0.90292,               0.000515,               0.000515,               0.000515
                     77,                 1.1061,                0.60193,                0.91011,                0.97586,                0.97135,                0.98186,                0.68093,                 1.0427,                0.52632,                0.90701,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1081,                0.60659,                0.91136,                0.97682,                0.97439,                0.98285,                0.68545,                 1.0068,                0.52873,                0.89722,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0963,                0.59632,                0.90359,                 0.9785,                0.97393,                0.98329,                0.68412,                 1.0165,                0.53332,                0.89951,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1006,                0.59827,                0.90592,                0.97299,                0.97144,                0.98565,                0.67595,                 1.0723,                0.55118,                0.90855,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0978,                0.59299,                0.90888,                0.97786,                0.97121,                0.98359,                0.70233,                0.98772,                0.51668,                0.89288,               0.000416,               0.000416,               0.000416
                     82,                 1.0804,                0.58719,                0.90366,                0.97267,                0.97604,                0.98327,                0.68591,                 1.0277,                0.52404,                0.90295,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0848,                0.59316,                 0.9056,                0.97322,                0.97484,                0.98502,                0.68235,                 1.0284,                0.52984,                0.90111,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0716,                0.58286,                0.90093,                0.97517,                0.97189,                0.99055,                0.71191,                0.95955,                0.52035,                0.88709,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0552,                0.57597,                0.90007,                0.97815,                0.97575,                0.99012,                0.70374,                0.98872,                0.50902,                0.89339,              0.0003368,              0.0003368,              0.0003368
                     86,                  1.052,                0.56871,                0.89472,                 0.9787,                0.97189,                0.99057,                 0.7076,                0.96602,                0.52074,                0.88696,               0.000317,               0.000317,               0.000317
                     87,                  1.049,                 0.5608,                0.89474,                0.97795,                0.97892,                0.99176,                0.70894,                0.97714,                 0.5031,                0.88969,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0444,                0.56886,                0.89498,                0.97354,                 0.9728,                0.98728,                0.71484,                0.95693,                0.51384,                0.88522,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0428,                0.56025,                0.89865,                0.97791,                0.97311,                0.99075,                0.70367,                0.97426,                0.50911,                0.88562,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0478,                0.56421,                0.90265,                0.97629,                0.98002,                0.98409,                0.70992,                0.96232,                0.49083,                0.88707,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0781,                 0.5751,                0.90196,                0.97909,                0.97665,                0.98983,                0.70392,                0.98606,                0.50905,                0.89026,               0.000218,               0.000218,               0.000218
                     92,                 1.0423,                0.56675,                0.89694,                0.97768,                0.97286,                0.98648,                0.73819,                0.91743,                0.49346,                0.87783,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0343,                0.55912,                0.89398,                0.98047,                0.97875,                0.98763,                0.72095,                0.97569,                0.49381,                0.88802,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.0188,                0.54767,                0.89156,                0.98203,                0.97863,                0.98825,                0.73334,                0.94586,                0.48773,                0.88234,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0209,                0.54451,                0.89318,                 0.9821,                0.97983,                0.99191,                0.73423,                0.94977,                0.48174,                0.88392,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0023,                0.54818,                0.89114,                0.98057,                0.98028,                0.99243,                0.73886,                0.92911,                0.48355,                0.87835,               0.000119,               0.000119,               0.000119
                     97,                 1.0092,                 0.5349,                0.88892,                0.97946,                0.98005,                0.99016,                 0.7371,                0.93309,                0.47063,                0.88201,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.99179,                0.52977,                0.88522,                0.98115,                0.97916,                0.99242,                0.73949,                0.94266,                0.48206,                0.88188,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.98713,                0.53064,                0.88517,                0.98121,                 0.9823,                0.99246,                0.73967,                0.92995,                0.47236,                0.87973,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.97965,                 0.5193,                0.88124,                0.98113,                0.98255,                0.99272,                0.74581,                0.91548,                0.46815,                0.87684,               3.98e-05,               3.98e-05,               3.98e-05
